cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0.012987,0.3001,0.29967,0.266,0.29797
0.013038,0.30124,0.29411,0.27164,0.29246
0.013235,0.29952,0.29839,0.28049,0.29342
0.013456,0.29716,0.29467,0.27136,0.29431
0.014318,0.29812,0.30002,0.26431,0.29817
0.015084,0.29502,0.30359,0.27141,0.29383
0.015703,0.29741,0.29795,0.28525,0.2917
0.015729,0.29799,0.29854,0.27092,0.29616
0.016531,0.29604,0.29688,0.27148,0.28432
0.016965,0.29485,0.29672,0.27698,0.29528
0.017873,0.29627,0.29803,0.27205,0.29476
0.01799,0.29575,0.29576,0.26679,0.2894
0.018254,0.2938,0.29672,0.27902,0.2941
0.018267,0.29851,0.29764,0.26199,0.29415
0.018582,0.29635,0.29655,0.27155,0.29572
0.019347,0.29641,0.29523,0.27774,0.29878
0.02022,0.29811,0.29768,0.28625,0.29062
0.020248,0.30078,0.2991,0.27465,0.29556
0.020387,0.29759,0.30127,0.26517,0.2983
0.021385,0.2996,0.3005,0.28191,0.29561
0.021927,0.29926,0.29632,0.28115,0.29574
0.022026,0.29953,0.29487,0.28124,0.29053
0.022494,0.29864,0.29858,0.27452,0.29306
0.02263,0.29495,0.29794,0.26404,0.29194
0.023346,0.29529,0.29383,0.27596,0.2954
0.023678,0.30075,0.29924,0.26283,0.29791
0.024564,0.29947,0.2952,0.27643,0.29971
0.024963,0.29956,0.29935,0.26795,0.29502
0.025375,0.29768,0.29411,0.28131,0.29823
0.025617,0.29929,0.298,0.2655,0.29108
0.025868,0.29815,0.29801,0.28111,0.30235
0.026618,0.29657,0.30005,0.27842,0.28966
0.027429,0.29488,0.29756,0.27146,0.29172
0.027892,0.29063,0.299,0.27784,0.30016
0.028178,0.29696,0.29359,0.2654,0.29691
0.028325,0.29501,0.29681,0.26941,0.2877
0.029044,0.29712,0.297,0.2773,0.2894
0.029967,0.29973,0.29241,0.27789,0.29298
0.030824,0.29499,0.30124,0.28256,0.29608
0.031347,0.2992,0.29789,0.27551,0.29741
0.032091,0.30156,0.29889,0.27865,0.28985
0.032972,0.29677,0.29755,0.27708,0.29449
0.03309,0.29549,0.2987,0.27658,0.29807
0.033325,0.30037,0.29695,0.27889,0.28945
0.034274,0.29426,0.29401,0.27328,0.29559
0.035171,0.29627,0.29564,0.27124,0.29852
0.035779,0.30033,0.29449,0.28055,0.2893
0.036636,0.2922,0.29484,0.283,0.28597
0.037445,0.29909,0.29637,0.2634,0.29659
0.038304,0.29929,0.29902,0.28154,0.28497
0.038326,0.29924,0.30003,0.26898,0.29634
0.038649,0.29672,0.29895,0.27696,0.29377
0.038654,0.29995,0.29705,0.28126,0.28305
0.039626,0.29585,0.29758,0.26722,0.28997
0.040493,0.29809,0.30057,0.27899,0.299
0.041473,0.29929,0.29701,0.27942,0.28779
0.042128,0.29899,0.29801,0.28142,0.28483
0.042468,0.29321,0.29579,0.27939,0.29562
0.043241,0.30018,0.29758,0.27522,0.28582
0.043491,0.29544,0.3003,0.27301,0.30821
0.043816,0.29587,0.29982,0.28374,0.28911
0.044524,0.29786,0.29725,0.27683,0.29619
0.04529,0.29822,0.2986,0.27938,0.29401
0.045435,0.29714,0.29701,0.28336,0.28753
0.046079,0.29351,0.29745,0.27937,0.28986
0.046778,0.30252,0.30074,0.27129,0.2992
0.047007,0.30024,0.29641,0.26203,0.29009
0.047961,0.29482,0.29678,0.25911,0.29931
0.048327,0.29619,0.29897,0.27778,0.29562
0.048755,0.29805,0.29577,0.26437,0.29373
0.049047,0.30172,0.2948,0.27583,0.29339
0.049462,0.3003,0.29586,0.27875,0.29376
0.049912,0.29851,0.29642,0.28729,0.29492
0.050657,0.29516,0.29979,0.26944,0.29952
0.051265,0.2998,0.29667,0.28634,0.30131
0.051564,0.29816,0.29493,0.27343,0.29882
0.052333,0.29686,0.29849,0.27723,0.29983
0.053284,0.2962,0.29934,0.27707,0.29332
0.053422,0.299,0.29425,0.26914,0.29599
0.054342,0.29951,0.29891,0.27162,0.29058
0.054492,0.29741,0.29693,0.27096,0.29975
0.055486,0.29864,0.29817,0.27933,0.28815
0.055679,0.29778,0.29599,0.26534,0.29499
0.05582,0.2994,0.29698,0.27506,0.29744
0.056723,0.29962,0.29509,0.27233,0.29097
0.058832,0.3005,0.29742,0.27331,0.29817
0.060912,0.30012,0.29803,0.26509,0.30097
0.068269,0.29679,0.2974,0.28242,0.30473
0.073553,0.29851,0.29957,0.28073,0.29885
0.079929,0.29964,0.2964,0.2817,0.29128
0.089341,0.29428,0.29847,0.282,0.30081
0.092458,0.29586,0.2951,0.26967,0.28966
0.095025,0.29515,0.29734,0.26957,0.29782
0.10091,0.30078,0.30129,0.27866,0.29159
0.10557,0.29765,0.29734,0.2733,0.28551
0.10888,0.2982,0.30122,0.28122,0.28681
0.11685,0.29941,0.30119,0.28446,0.29786
0.12446,0.29338,0.29938,0.27154,0.28852
0.12573,0.29523,0.29826,0.27463,0.29828
0.13181,0.29716,0.29823,0.28161,0.29892
0.1322,0.30063,0.2952,0.25961,0.29615
0.13472,0.30277,0.29758,0.27978,0.29472
0.14017,0.30018,0.29741,0.26165,0.29382
0.1413,0.29795,0.30161,0.27725,0.30054
0.14166,0.30125,0.29639,0.26807,0.28554
0.14596,0.2978,0.2994,0.28258,0.29486
0.15515,0.30065,0.2973,0.26976,0.29461
0.16085,0.30168,0.29945,0.27201,0.29284
0.1624,0.30006,0.29828,0.2744,0.28589
0.16904,0.29946,0.29331,0.2647,0.29247
0.17768,0.29842,0.29177,0.2817,0.29773
0.1846,0.29914,0.30083,0.27905,0.2971
0.18492,0.29691,0.29671,0.27704,0.29612
0.1889,0.2972,0.29639,0.27096,0.29228
0.1892,0.29817,0.29582,0.26597,0.29894
0.19215,0.29953,0.29749,0.28153,0.29283
0.19478,0.29636,0.2943,0.28328,0.29105
0.19691,0.2994,0.29716,0.28819,0.28874
0.20529,0.29741,0.29995,0.27593,0.29414
0.2129,0.30018,0.29242,0.2801,0.29437
0.22184,0.29797,0.29712,0.27778,0.29158
0.22908,0.2959,0.29481,0.26678,0.29207
0.23388,0.29219,0.29822,0.27852,0.29628
0.23423,0.29883,0.29863,0.25857,0.2975
0.24328,0.29631,0.29575,0.27363,0.29744
0.24981,0.30238,0.2968,0.2671,0.30241
0.2514,0.29624,0.30268,0.26694,0.28778
0.25446,0.29859,0.29939,0.26988,0.29517
0.26199,0.29869,0.29909,0.26839,0.29542
0.26981,0.29862,0.29858,0.27167,0.29317
0.27478,0.29845,0.29855,0.28195,0.29783
0.28441,0.29922,0.29785,0.2673,0.29677
0.28864,0.29678,0.29831,0.27131,0.2921
0.2895,0.29722,0.30011,0.27162,0.30616
0.29416,0.29763,0.29737,0.27373,0.29682
0.30398,0.29523,0.29599,0.27838,0.2933
0.31054,0.29378,0.29705,0.27876,0.29483
0.31753,0.29935,0.30129,0.27048,0.29194
0.32264,0.2975,0.30118,0.28331,0.2968
0.32772,0.29933,0.2968,0.26579,0.30068
0.33484,0.29897,0.29506,0.27685,0.29609
0.34449,0.29675,0.29649,0.26926,0.29309
